,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,EQUIPMENT,,,,,,,TOWING PERSONNEL,,,,SERVICE  TYPE,,,,,,,,,
S/N,DATE,DAY,TIME,A/C Regn,A/C Type,PB/TOW,PB,TOW,FROM,TO,AT1,AT2,AT3,AT4,AT5,AT6,AT10,OPERATOR,ASSISTANT 1,ASSISTANT 2,ASSISTANT 3,FBO,"NON
FBO",MXX,"NON
JET","HGR /
CMP CTR",Checked by,REMARKS,JOB NO.,ERROR,ERROR REMARKS
1,1-Sep-26,,0610,N308KB,G280,1,,,Z5,B1,,,,,,,1,KAM,SUK,SAZ,WAF,1,,,,1,SUK,ONLINE FOR DEP,25110,,
2,1-Sep-26,,1115,T7828,ACJ,1,,,Z4,GRE,,1,,,,,,KAM,SUK,HDT,SHI,1,,,,1,SUK,,25181,,
3,1-Sep-26,,1230,T7828,ACJ,,,1,GRE,Z4,,1,,,,,,KAM,SUK,HDT,SHI,1,,,,1,SUK,,25181,,
4,1-Sep-26,,1330,MSZSZ,G650,1,,,AG13,GRE,,,,,,,1,SUK,KAM,NAC,BRI,,,1,,,SUK,,PREMEIR,,
5,1-Sep-26,,1520,MSZSZ,G650,,,1,GRE,AG13,,,,,,,1,SUK,KAM,NAV,BRI,,,1,,,SUK,,PREMEIR,,
6,1-Sep-26,,1745,MPTGG,FA8X,,,1,Z4,C5,,,,,,,1,SUK,KAM,HDT,HSM,1,,,,1,SUK,ONLINE FOR DEP,25176,,
7,1-Sep-26,,1805,T7ARN,G650,1,,,AG13,D53,,,,,,,1,SUK,HDT,KAM,HSM,,,1,,,SUK,ONLINE FOR DEP,25217,,
8,1-Sep-26,,1835,VHRIO,H800XP,1,,,B61,AG5,,,,,,,1,SUK,KAM,HDT,,,,1,,,SUK,,25224,,
9,1-Sep-26,,2140,A7CHD,GA7C,,,1,D54,AG13,,,,,,,1,KAM,SUK,NIC,CHI,,,1,,,SUK,,25202,,
10,2-Sep-26,,0820,A7CHD,GA7C,1,,,AG13,D54,,,,,,,1,SUK,RAF,MCU,SHN,,,1,,,SUK,ONLINE FOR DEP,WOA,,
11,2-Sep-26,,0820,T758GG,F2TH,1,,,AG13,GRE,1,,,,,,,RAS,PNG,CNW,JAC,,,1,,1,SUK,,25159,,
12,2-Sep-26,,0920,N188WM,GA7C,1,,,CMP11,D52,,,,,,,1,SUK,RAF,FOO,SHI,1,,,,1,SUK,ONLINE FOR DEP,25230,,
13,2-Sep-26,,0920,T758GG,F2TH,,,1,AG13,Z4,1,,,,,,,RAS,PNG,CWG,JAC,,,1,,1,SUK,,25159,,
14,2-Sep-26,,1000,B3239,G550,1,,,AG11,C6,,,,,,,1,SUK,RAF,CHU,LEE,,,1,,,SUK,ONLINE FOR DEP,UV,,
15,2-Sep-26,,1340,N188WM,GA7C,,,1,D52,EP,,,,,,,1,SUK,RAS,SHA,,1,,,,1,SUK,TOW FORWARD,25230,,
16,2-Sep-26,,1515,T7VIC,GA8C,,,1,CMP11,D53,,,,,,,1,SUK,RAF,VIC,SHN,1,,,,1,SUK,ONLINE FOR DEP,WOA,,
17,2-Sep-26,,1550,VTKOL,E135,,,1,B5,B60,,,,,,,1,SUK,RAF,,,1,,,,,SUK,REPO,25220,,
